KeyWords,DOI,abstract,category,type,public_date,fund,author,jounary,author info,title
作者关键词:China; clinical trial; new coronavirus pneumonia; new drugs,10.1002/jmv.25733,"摘要
So far, there is a lack of effective drugs for the new coronavirus pneumonia. With more and more patients diagnosed, China has carried out more than 100 clinical studies of new coronavirus infection, including antiviral drugs, antimalarial drugs, glucocorticoids, plasma therapy, virus vaccine, and other Western drugs, while Chinese medicine research accounted for half of the studies. Most of the trials were initiated by investigators and the study period would last for 1 to 11 months. The primary endpoints included symptom improvement and virus nucleic acid turning negative, but the optimal endpoint has not been determined. Although the final results of studies will take a long time to complete, the interim research data may provide some help for the current urgent demand for drug treatment. Compared with that of during SARS period in 2003, China has the stronger capability to carry out clinical trials of new drugs in emergency period.",研究方向:Virology,文献类型:Editorial Material,出版年: JUN 2020,,"作者:Zhang, Q (Zhang, Qi)[ 1 ] ; Wang, YK (Wang, Yakun)[ 1 ] ; Qi, CS (Qi, Changsong)[ 1 ] ; Shen, L (Shen, Lin)[ 1 ] ; Li, J (Li, Jian)[ 1 ]",JOURNAL OF MEDICAL VIROLOGY,"Peking Univ, Canc Hosp & Inst, Key Lab Carcinogenesis & Translat Res, Dept Gastrointestinal Oncol,Minist Educ, Fucheng Rd 52, Beijing 100142, Peoples R China.
[ 1 ] Peking Univ, Canc Hosp & Inst, Key Lab Carcinogenesis & Translat Res, Dept Gastrointestinal Oncol,Minist Educ, Fucheng Rd 52, Beijing 100142, Peoples R China
",Clinical trial analysis of 2019-nCoV therapy registered in China
作者关键词:2019-nCoV; coronavirus; COVID-19; epidemiology; pneumonia; SARS-CoV-2,10.1002/jmv.25722,"摘要
Since December 2019, a series of unexplained pneumonia cases have been reported in Wuhan, China. On 12 January 2020, the World Health Organization (WHO) temporarily named this new virus as the 2019 novel coronavirus (2019-nCoV). On 11 February 2020, the WHO officially named the disease caused by the 2019-nCoV as coronavirus disease (COVID-19). The COVID-19 epidemic is spreading all over the world, especially in China. Based on the published evidence, we systematically discuss the characteristics of COVID-19 in the hope of providing a reference for future studies and help for the prevention and control of the COVID-19 epidemic.",研究方向:Virology,文献类型:Review,出版年: JUN 2020,,"作者:Sun, PF (Sun, Pengfei)[ 1 ] ; Lu, XH (Lu, Xiaosheng)[ 2 ] ; Xu, C (Xu, Chao)[ 1 ] ; Sun, WJ (Sun, Wenjuan)[ 3 ] ; Pan, B (Pan, Bo)[ 4 ]",JOURNAL OF MEDICAL VIROLOGY,"Chinese Acad Med Sci, Peking Union Med Coll, Plast Surg Hosp, Dept Plast Surg, Bada Rd, Beijing 100144, Peoples R China.
[ 1 ] Zibo Cent Hosp, Dept Plast Surg, Zibo, Peoples R China
[ 2 ] Weifang Med Univ, Affiliated Hosp, Dept Plast Surg, Weifang, Peoples R China
[ 3 ] Peoples Hosp Boxing, Dept Med, Binzhou, Peoples R China
[ 4 ] Chinese Acad Med Sci, Peking Union Med Coll, Plast Surg Hosp, Dept Plast Surg, Bada Rd, Beijing 100144, Peoples R China
",Understanding of COVID-19 based on current evidence
作者关键词:cell susceptibility; coronavirus; dissemination; nervous system,10.1002/jmv.25728,"摘要
Following the severe acute respiratory syndrome coronavirus (SARS-CoV) and Middle East respiratory syndrome coronavirus (MERS-CoV), another highly pathogenic coronavirus named SARS-CoV-2 (previously known as 2019-nCoV) emerged in December 2019 in Wuhan, China, and rapidly spreads around the world. This virus shares highly homological sequence with SARS-CoV, and causes acute, highly lethal pneumonia coronavirus disease 2019 (COVID-19) with clinical symptoms similar to those reported for SARS-CoV and MERS-CoV. The most characteristic symptom of patients with COVID-19 is respiratory distress, and most of the patients admitted to the intensive care could not breathe spontaneously. Additionally, some patients with COVID-19 also showed neurologic signs, such as headache, nausea, and vomiting. Increasing evidence shows that coronaviruses are not always confined to the respiratory tract and that they may also invade the central nervous system inducing neurological diseases. The infection of SARS-CoV has been reported in the brains from both patients and experimental animals, where the brainstem was heavily infected. Furthermore, some coronaviruses have been demonstrated able to spread via a synapse-connected route to the medullary cardiorespiratory center from the mechanoreceptors and chemoreceptors in the lung and lower respiratory airways. Considering the high similarity between SARS-CoV and SARS-CoV2, it remains to make clear whether the potential invasion of SARS-CoV2 is partially responsible for the acute respiratory failure of patients with COVID-19. Awareness of this may have a guiding significance for the prevention and treatment of the SARS-CoV-2-induced respiratory failure.",研究方向:Virology,文献类型:Review,出版年: JUN 2020,,"作者:Li, YC (Li, Yan-Chao)[ 1 ] ; Bai, WZ (Bai, Wan-Zhu)[ 2 ] ; Hashikawa, T (Hashikawa, Tsutomu)[ 3 ]",JOURNAL OF MEDICAL VIROLOGY,"Jilin Univ, Dept Histol & Embryol, Coll Basic Med Sci, Norman Bethune Coll Med, Changchun 130021, Jilin, Peoples R China.
[ 1 ] Jilin Univ, Dept Histol & Embryol, Coll Basic Med Sci, Norman Bethune Coll Med, Changchun 130021, Jilin, Peoples R China
[ 2 ] China Acad Chinese Med Sci, Inst Acupuncture & Moxibust, Beijing, Peoples R China
[ 3 ] RIKEN Brain Sci Inst, Adv Technol Dev Grp, Neural Architecture, Saitama, Japan
",The neuroinvasive potential of SARS-CoV2 may play a role in the respiratory failure of COVID-19 patients
作者关键词:2019-nCoV; clinical characteristics; COVID-19; discharge rate; fatality rate; meta-analysis,10.1002/jmv.25757,"摘要
The aim of this study was to analyze the clinical data, discharge rate, and fatality rate of COVID-19 patients for clinical help. The clinical data of COVID-19 patients from December 2019 to February 2020 were retrieved from four databases. We statistically analyzed the clinical symptoms and laboratory results of COVID-19 patients and explained the discharge rate and fatality rate with a single-arm meta-analysis. The available data of 1994 patients in 10 literatures were included in our study. The main clinical symptoms of COVID-19 patients were fever (88.5%), cough (68.6%), myalgia or fatigue (35.8%), expectoration (28.2%), and dyspnea (21.9%). Minor symptoms include headache or dizziness (12.1%), diarrhea (4.8%), nausea and vomiting (3.9%). The results of the laboratory showed that the lymphocytopenia (64.5%), increase of C-reactive protein (44.3%), increase of lactic dehydrogenase (28.3%), and leukocytopenia (29.4%) were more common. The results of single-arm meta-analysis showed that the male took a larger percentage in the gender distribution of COVID-19 patients 60% (95% CI [0.54, 0.65]), the discharge rate of COVID-19 patients was 52% (95% CI [0.34,0.70]), and the fatality rate was 5% (95% CI [0.01,0.11]).",研究方向:Virology,文献类型:Review,出版年: JUN 2020,Natural Science Foundation of Gansu Province ,"作者:Li, LQ (Li, Long-quan)[ 1,2,3 ] ; Huang, T (Huang, Tian)[ 1,2,3 ] ; Wang, YQ (Wang, Yong-qing)[ 4 ] ; Wang, ZP (Wang, Zheng-ping)[ 5 ] ; Liang, Y (Liang, Yuan)[ 1,2,3 ] ; Huang, TB (Huang, Tao-bi)[ 1,2,3 ] ; Zhang, HY (Zhang, Hui-yun)[ 1,2,3 ] ; Sun, WM (Sun, Weiming)[ 6 ] ; Wang, YP (Wang, Yuping)[ 2,3 ]",JOURNAL OF MEDICAL VIROLOGY,"Lanzhou Univ, Hosp 1, Dept Endocrinol, 1 West Donggang Rd, Lanzhou 730000, Peoples R China.
Lanzhou Univ, Hosp 1, Dept Gastroenterol, Key Lab Gastrointestinal Dis Gansu Prov, 1 West Donggang Rd, Lanzhou 730000, Gansu, Peoples R China.
[ 1 ] Lanzhou Univ, Clin Med Sch 1, Lanzhou, Peoples R China
[ 2 ] Lanzhou Univ, Hosp 1, Depat Gastroenterol, Lanzhou, Peoples R China
[ 3 ] Lanzhou Univ, Hosp 1, Key Lab Gastrointestinal Dis Gansu Prov, Lanzhou, Peoples R China
[ 4 ] Gansu Prov Hosp, Day Diagnost Ctr, Lanzhou, Peoples R China
[ 5 ] Gansu Univ Chinese Med, Clin Coll Chinese Med, Lanzhou, Peoples R China
[ 6 ] Lanzhou Univ, Hosp 1, Dept Endocrinol, 1 West Donggang Rd, Lanzhou 730000, Peoples R China
","COVID-19 patients' clinical characteristics, discharge rate, and fatality rate of meta-analysis"
作者关键词:2019-nCoV; clinical symptoms; coronavirus; meta-analysis; SARS-CoV-2,10.1002/jmv.25735,"摘要
Objective We aim to summarize reliable evidence of evidence-based medicine for the treatment and prevention of the Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2) by analyzing all the published studies on the clinical characteristics of patients with SARS-CoV-2.

Methods PubMed, Cochrane Library, Embase, and other databases were searched. Several studies on the clinical characteristics of SARS-CoV-2 infection were collected for meta-analysis.

Results Ten studies were included in Meta-analysis, including a total number of 50466 patients with SARS-CoV-2 infection. Meta-analysis shows that, among these patients, the incidence of fever was 0.891 (95% CI: 0.818, 0.945), the incidence of cough was 0.722 (95% CI: 0.657, 0.782), and the incidence of muscle soreness or fatigue was 0.425 (95% CI: 0.213, 0.652). The incidence of acute respiratory distress syndrome (ARDS) was 0.148 (95% CI: 0.046, 0.296), the incidence of abnormal chest computer tomography (CT) was 0.966 (95% CI: 0.921, 0.993), the percentage of severe cases in all infected cases was 0.181 (95% CI: 0.127, 0.243), and the case fatality rate of patients with SARS-CoV-2 infection was 0.043 (95% CI: 0.027, 0.061).

Conclusion Fever and cough are the most common symptoms in patients with SARS-CoV-2 infection, and most of these patients have abnormal chest CT examination. Several people have muscle soreness or fatigue as well as ARDS. Diarrhea, hemoptysis, headache, sore throat, shock, and other symptoms are rare. The case fatality rate of patients with SARS-CoV-2 infection is lower than that of Severe Acute Respiratory Syndrome (SARS) and Middle East Respiratory Syndrome (MERS). This meta-analysis also has limitations, so the conclusions of this Meta-analysis still need to be verified by more relevant studies with more careful design, more rigorous execution, and larger sample size.",研究方向:Virology,文献类型:Article,出版年: JUN 2020,,"作者:Sun, PF (Sun, Pengfei)[ 1 ] ; Qie, SY (Qie, Shuyan)[ 2 ] ; Liu, ZJ (Liu, Zongjian)[ 2 ] ; Ren, JZ (Ren, Jizhen)[ 3 ] ; Li, K (Li, Kun)[ 4 ] ; Xi, JN (Xi, Jianing)[ 5 ]",JOURNAL OF MEDICAL VIROLOGY,"Capital Med Univ, Beijing Rehabil Hosp, Bada Rd, Beijing 100044, Peoples R China.
[ 1 ] Zibo Cent Hosp, Dept Plast Surg, Zibo, Peoples R China
[ 2 ] Capital Med Univ, Beijing Rehabil Hosp, Dept Rehabil, Beijing, Peoples R China
[ 3 ] Qingdao Univ, Affiliated Hosp, Dept Plast Surg, Qingdao, Peoples R China
[ 4 ] Qingdao Eighth Peoples Hosp, Dept Plast Surg, Qingdao, Peoples R China
[ 5 ] Capital Med Univ, Beijing Rehabil Hosp, Dept Resp Rehabil, Beijing, Peoples R China
",Clinical characteristics of hospitalized patients with SARS-CoV-2 infection: A single arm meta-analysis
,10.1016/j.jad.2020.03.041,,研究方向:Neurosciences & Neurology; Psychiatry,文献类型:Letter,出版年: MAY 15 2020,,"作者:Zheng, W (Zheng, Wei)[ 1 ]",JOURNAL OF AFFECTIVE DISORDERS,"Guangzhou Med Univ, Guangzhou Huiai Hosp, Affiliated Brain Hosp, Guangzhou, Peoples R China.
[ 1 ] Guangzhou Med Univ, Guangzhou Huiai Hosp, Affiliated Brain Hosp, Guangzhou, Peoples R China
",Mental health and a novel coronavirus (2019-nCoV) in China
作者关键词:Coronavirus; SARS-CoV-2; SARS-CoV; Epidemiology; Pneumonia; Flu; Bats; Human to human transmission; Epidemic; Pandemic; Pyroptosis,102434,"摘要
The 2019-nCoV is officially called SARS-CoV-2 and the disease is named COVID-19. This viral epidemic in China has led to the deaths of over 1800 people, mostly elderly or those with an underlying chronic disease or immunosuppressed state. This is the third serious Coronavirus outbreak in less than 20 years, following SARS in 2002-2003 and MERS in 2012. While human strains of Coronavirus are associated with about 15% of cases of the common cold, the SARS-CoV-2 may present with varying degrees of severity, from flu-like symptoms to death. It is currently believed that this deadly Coronavirus strain originated from wild animals at the Huanan market in Wuhan, a city in Hubei province. Bats, snakes and pangolins have been cited as potential carriers based on the sequence homology of CoV isolated from these animals and the viral nucleic acids of the virus isolated from SARS-CoV-2 infected patients. Extreme quarantine measures, including sealing off large cities, closing borders and confining people to their homes, were instituted in January 2020 to prevent spread of the virus, but by that time much of the damage had been done, as human-human transmission became evident. While these quarantine measures are necessary and have prevented a historical disaster along the lines of the Spanish flu, earlier recognition and earlier implementation of quarantine measures may have been even more effective. Lessons learned from SARS resulted in faster determination of the nucleic acid sequence and a more robust quarantine strategy. However, it is clear that finding an effective antiviral and developing a vaccine are still significant challenges. The costs of the epidemic are not limited to medical aspects, as the virus has led to significant sociological, psychological and economic effects globally. Unfortunately, emergence of SARS-CoV-2 has led to numerous reports of Asians being subjected to racist behavior and hate crimes across the world.",研究方向:Immunology,文献类型:Review,出版年: MAY 2020,Beijing Municipal Natural Science Foundation General Program ,"作者:Yang, YS (Yang, Yongshi)[ 1 ] ; Peng, FJ (Peng, Fujun)[ 2,3 ] ; Wang, RS (Wang, Runsheng)[ 4,5 ] ; Guan, K (Guan, Kai)[ 1 ] ; Jiang, TJ (Jiang, Taijiao)[ 2,3 ] ; Xu, GG (Xu, Guogang)[ 5,6 ] ; Sun, JY (Sun, Jinlyu)[ 1 ] ; Chang, ROE (Chang, Christopher)[ 7,8 ]",JOURNAL OF AUTOIMMUNITY,"Univ Calif Davis, 451 Hlth Sci Dr,Suite 6510, Davis, CA 95616 USA.
1 Shuaifuyuan Wangfujing, Beijing 100730, Peoples R China.
28 Fuxing Rd, Beijing 100853, Peoples R China.
9 Dongdan 3 Rd, Beijing 100005, Peoples R China.
[ 1 ] Peking Union Med Coll & Chinese Acad Med Sci, Dept Allergy & Clin Immunol, Peking Union Med Coll Hosp, Natl Clin Res Ctr Immunol Dis, Beijing 100730, Peoples R China
[ 2 ] Peking Union Med Coll & Chinese Acad Med Sci, Ctr Syst Med, Inst Basic Med Sci, Beijing 100005, Peoples R China
[ 3 ] Suzhou Inst Syst Med, Suzhou 215123, Jiangsu, Peoples R China
[ 4 ] Chinese Peoples Liberat Army Gen Hosp, Med Ctr 2, Dept Resp Dis, Beijing 100853, Peoples R China
[ 5 ] Chinese Peoples Liberat Army Gen Hosp, Natl Clin Res Ctr Geriatr Dis, Beijing 100853, Peoples R China
[ 6 ] Chinese Peoples Liberat Army Gen Hosp, Dept Infect Prevent & Dis Control, Med Ctr 2, Beijing 100853, Peoples R China
[ 7 ] Univ Calif Davis, Div Rheumatol Allergy & Clin Immunol, Davis, CA 95616 USA
[ 8 ] Joe DiMaggio Childrens Hosp, Div Pediat Immunol & Allergy, Hollywood, FL USA
",The deadly coronaviruses: The 2003 SARS pandemic and the 2020 novel coronavirus epidemic in China
作者关键词:COVID-19; Solitary pulmonary nodule; Ground-glass; Pneumonia; viral; Tomography; X-ray computed,10.3348/kjr.2020.0240,"摘要
The 2019 novel coronavirus (2019-nCoV) outbreak in Wuhan, Hubei Province, China in 2019 led to large numbers of people being infected and developing atypical pneumonia (coronavirus disease 2019, COVID-19). Typical imaging manifestations of patients infected with 2019-nCoV has been reported, but we encountered an atypical radiological manifestation on baseline computed tomography (CT) images in three patients from Wuhan, China infected with the 2019-nCoV. Surprisingly, the only similar CT finding was a solitary sub-centimeter ground-glass nodule adjacent to bronchovascular bundles, which could be easily overlooked. In addition, the follow-up images in these patients showed how COVID-19 pneumonia evolved from these small nodules. The radiologic manifestation of the three cases will expand contemporary understanding of COVID-19.","研究方向:Radiology, Nuclear Medicine & Medical Imaging",文献类型:Editorial Material,出版年: MAY 2020,,"作者:Xia, TY (Xia, Tianyi)[ 1 ] ; Li, JW (Li, Jiawei)[ 2 ] ; Gao, J (Gao, Jiao)[ 2 ] ; Xu, XH (Xu, Xunhua)[ 2 ]",KOREAN JOURNAL OF RADIOLOGY,"China Resources & WISCO Gen Hosp, Dept Radiol, 209 Yejin Rd, Wuhan 430080, Peoples R China.
[ 1 ] Wenzhou Med Univ, Affiliated Hosp 1, Dept Radiol, Wenzhou, Peoples R China
[ 2 ] China Resources & WISCO Gen Hosp, Dept Radiol, 209 Yejin Rd, Wuhan 430080, Peoples R China
",Small Solitary Ground-Glass Nodule on CT as an Initial Manifestation of Coronavirus Disease 2019 (COVID-19) Pneumonia
作者关键词:infection control; cross-infection; occupational health; 2019 novel coronavirus; viral pneumonia; COVID 19; 2019 nCoV,10.1053/j.jvca.2020.02.039,"摘要
Objectives: The aim of the present study was to prevent cross-infection in the operating room during emergency procedures for patients with confirmed or suspected 2019 novel coronavirus (2019-nCoV) by following anesthesia management protocols, and to document clinical- and anesthesia-related characteristics of these patients.

Design: This was a retrospective, multicenter clinical study.

Setting: This study used a multicenter dataset from 4 hospitals in Wuhan, China.

Participants: Patients and health care providers with confirmed or suspected 2019-nCoV from January 23 to 31, 2020, at the Wuhan Union Hospital, the Wuhan Children's Hospital, The Central Hospital of Wuhan, and the Wuhan Fourth Hospital in Wuhan, China.

Interventions: Anesthetic management and infection control guidelines for emergency procedures for patients with suspected 2019-nCoV were drafted and applied in 4 hospitals in Wuhan.

Measurements and Main Results: Cross-infection in the operating rooms of the 4 hospitals was effectively reduced by implementing the new measures and procedures. The majority of patients with laboratory-confirmed 2019-nCoV infection or suspected infection were female (23 [62%] of 37), and the mean age was 41.0 years old (standard deviation 19.6; range 4-78). 10 (27%) patients had chronic medical illnesses, including 4 (11%) with diabetes, 8 (22%) with hypertension, and 8 (22%) with digestive system disease. Twenty-five (68%) patients presented with lymphopenia, and 23 (62%) patients exhibited multiple mottling and ground-glass opacity on computed tomography scanning.

Conclusions: The present study indicates that COVID 19-specific guidelines for emergency procedures for patients with confirmed or suspected 2019-nCoV may effectively prevent cross-infection in the operating room. Most patients with confirmed or suspected COVID 19 presented with fever and dry cough and demonstrated bilateral multiple mottling and ground-glass opacity on chest computed tomography scans. (C) 2020 Elsevier Inc. All rights reserved.",研究方向:Anesthesiology; Cardiovascular System & Cardiology; Respiratory System,文献类型:Article,出版年: MAY 2020,National Natural Science Foundation of China,"作者:Zhao, S (Zhao, Shuai)[ 1,2 ] ; Ling, K (Ling, Ken)[ 1,2 ] ; Yan, H (Yan, Hong)[ 3 ] ; Zhong, L (Zhong, Liang)[ 2 ] ; Peng, XH (Peng, Xiaohong)[ 4 ] ; Yao, SL (Yao, Shanglong)[ 1 ] ; Huang, JP (Huang, Jiapeng)[ 5 ] ; Chen, XD (Chen, Xiangdong)[ 1 ]",JOURNAL OF CARDIOTHORACIC AND VASCULAR ANESTHESIA,"Huazhong Univ Sci & Technol, Union Hosp, Tongji Med Coll, Dept Anesthesiol, Wuhan 430022, Hubei, Peoples R China.
[ 1 ] Huazhong Univ Sci & Technol, Union Hosp, Tongji Med Coll, Dept Anesthesiol, Wuhan 430022, Hubei, Peoples R China
[ 2 ] Huazhong Univ Sci & Technol, Cent Hosp Wuhan, Tongji Med Coll, Dept Anesthesiol, Wuhan, Peoples R China
[ 3 ] Huazhong Univ Sci & Technol, Wuhan Childrens Hosp, Tongji Med Coll, Dept Anesthesiol, Wuhan, Peoples R China
[ 4 ] Huazhong Univ Sci & Technol, Wuhan Hosp Wuhan 4, Tongji Med Coll, Dept Anesthesiol, Wuhan, Peoples R China
[ 5 ] Univ Louisville, Dept Anesthesiol & Perioperat Med, Louisville, KY 40292 USA
",Anesthetic Management of Patients with COVID 19 Infections during Emergency Procedures
作者关键词:airway management; coronavirus; COVID-19; infection prevention and control; MERS; 2019-nCoV; SARS,10.1016/j.bja.2020.02.008,,研究方向:Anesthesiology,文献类型:Editorial Material,出版年: MAY 2020,,"作者:Peng, PWH (Peng, Philip W. H.)[ 1 ] ; Ho, PL (Ho, Pak-Leung)[ 2,3 ] ; Hota, SS (Hota, Susy S.)[ 4,5 ]",BRITISH JOURNAL OF ANAESTHESIA,"Univ Toronto, Univ Hlth Network, Dept Anesthesiol & Pain Med, Toronto, ON, Canada.
[ 1 ] Univ Toronto, Univ Hlth Network, Dept Anesthesiol & Pain Med, Toronto, ON, Canada
[ 2 ] Univ Hong Kong, Dept Microbiol, Hong Kong, Peoples R China
[ 3 ] Univ Hong Kong, Carol Yu Ctr Infect, Hong Kong, Peoples R China
[ 4 ] Univ Hlth Network, Infect Prevent & Control Dept, Toronto, ON, Canada
[ 5 ] Univ Toronto, Dept Med, Toronto, ON, Canada
",Outbreak of a new coronavirus: what anaesthetists should know
