abstract,KeyWords,type,jounary,DOI,title,author,category,fund,public_date,author info
"摘要
Epidemiological investigation suggested that the current outbreak of COVID-19 virus was associated with a seafood market, and COVID-19 has been identified a probable bat origin. Similar to SARS event in 2003, such a zoonotic disease showed an animal-to-person and even more serious person-to-person spread, and posed a significant threat to the global health and socio-economic development. We analyzed the association of both outbreaks with wildlife diet in China and proposed suggestions for regulating wildlife conservation and food safety to prevent human exposure to the novel virus, including increasing social awareness of hazards in eating wild animals, strengthening legislation on eating and trading of wild animals, improving the standards for food safety, and establishing market supervision mechanism. Regulatory intervention is not only critical for China but also for other countries where wildlife hunting is prevalent to prevent from novel virus exposures.",作者关键词:Wildlife conservation; food safety; zoonotic disease; human exposure; novel virus,文献类型:Article,ECOSYSTEM HEALTH AND SUSTAINABILITY,UNSP 1741325,Regulating wildlife conservation and food safety to prevent human exposure to novel virus,"作者:Yuan, JJ (Yuan, Jingjing)[ 1,2 ] ; Lu, YL (Lu, Yonglong)[ 1,2,3 ] ; Cao, XH (Cao, Xianghui)[ 2,3 ] ; Cui, HT (Cui, Haotian)[ 2,3 ]",研究方向:Environmental Sciences & Ecology,National Key R&D Program of China ,出版年: DEC 16 2020,"Xiamen Univ, Coll Environm & Ecol, Key Lab, Minist Educ Coastal Wetland Ecosyst, Xiamen 361102, Fujian, Peoples R China.
[ 1 ] Xiamen Univ, Coll Environm & Ecol, Key Lab, Minist Educ Coastal Wetland Ecosyst, Xiamen 361102, Fujian, Peoples R China
[ 2 ] Chinese Acad Sci, Res Ctr Ecoenvironm Sci, State Key Lab Urban & Reg Ecol, Beijing, Peoples R China
[ 3 ] Univ Chinese Acad Sci, Beijing, Peoples R China
"
,作者关键词:COVID-19; SARS-CoV-2; Korea; Diagnostic testing; Outbreak; Emergency use authorization,文献类型:Editorial Material,ANNALS OF LABORATORY MEDICINE,10.3343/alm.2020.40.5.349,COVID-19 Testing in South Korea: Current Status and the Need for Faster Diagnostics,"作者:Kim, YJ (Kim, Young Jin)[ 1 ] ; Sung, H (Sung, Heungsup)[ 2,3 ] ; Ki, CS (Ki, Chang-Seok)[ 4 ] ; Hur, M (Hur, Mina)[ 5 ]",研究方向:Medical Laboratory Technology,,出版年: SEP 2020,"Konkuk Univ, Med Ctr, Sch Med, Dept Lab Med, 120-1 Neungdong Ro, Seoul 05030, South Korea.
[ 1 ] Kyung Hee Univ, Kyung Hee Univ Hosp, Sch Med, Dept Lab Med, Seoul, South Korea
[ 2 ] Univ Ulsan, Coll Med, Dept Lab Med, Seoul, South Korea
[ 3 ] Asan Med Ctr, Seoul, South Korea
[ 4 ] GC Genome, Yongin, South Korea
[ 5 ] Konkuk Univ, Sch Med, Dept Lab Med, Seoul, South Korea
"
"摘要
The outbreak of coronavirus disease 2019 (COVID-19), which began in December 2019, is still ongoing in Korea, with >9,000 confirmed cases as of March 25, 2020. COVID-19 is a severe acute respiratory syndrome Coronavirus 2 (SARS-CoV-2) infection, and real-time reverse transcription-PCR is currently the most reliable diagnostic method for COVID-19 around the world. Korean Society for Laboratory Medicine and the Korea Centers for Disease Prevention and Control propose guidelines for diagnosing COVID-19 in clinical laboratories in Korea. These guidelines are based on other related domestic and international guidelines, as well as expert opinions and include the selection of test subjects, selection of specimens, diagnostic methods, interpretation of test results, and biosafety.",作者关键词:COVID-19; Outbreak; Laboratory diagnosis; Guidelines; Korea,文献类型:Article,ANNALS OF LABORATORY MEDICINE,10.3343/alm.2020.40.5.351,Guidelines for Laboratory Diagnosis of Coronavirus Disease 2019 (COVID-19) in Korea,"作者:Hong, KH (Hong, Ki Ho)[ 1 ] ; Lee, SW (Lee, Sang Won)[ 2 ] ; Kim, TS (Kim, Taek Soo)[ 3 ] ; Huh, HJ (Huh, Hee Jae)[ 4 ] ; Lee, J (Lee, Jaehyeon)[ 5 ] ; Kim, SY (Kim, So Yeon)[ 6 ] ; Park, JS (Park, Jae-Sun)[ 2 ] ; Kim, GJ (Kim, Gab Jeong)[ 2 ] ; Sung, H (Sung, Heungsup)[ 7,8 ] ; Roh, KH (Roh, Kyoung Ho)[ 9 ] ...更多内容",研究方向:Medical Laboratory Technology,,出版年: SEP 2020,"Yonsei Univ, Coll Med, Dept Lab Med, 50-1 Yonsei Ro, Seoul 03722, South Korea.
Ctr Dis Control & Prevent, Ctr Lab Control Infect Dis, Osong Hlth Technol Adm Complex, 187 Osongsaengmyeong 2 Ro, Cheongju 28159, South Korea.
[ 1 ] Seoul Med Ctr, Dept Lab Med, Seoul, South Korea
[ 2 ] Ctr Dis Control & Prevent, Ctr Lab Control Infect Dis, Osong, South Korea
[ 3 ] Seoul Natl Univ Hosp, Dept Lab Med, Seoul, South Korea
[ 4 ] Sungkyunkwan Univ, Samsung Med Ctr, Sch Med, Dept Lab Med & Genet, Seoul, South Korea
[ 5 ] Jeonbuk Natl Univ, Med Sch & Hosp, Dept Lab Med, Jeonju, South Korea
[ 6 ] Natl Med Ctr, Dept Lab Med, Seoul, South Korea
[ 7 ] Asan Med Ctr, Dept Lab Med, Seoul, South Korea
[ 8 ] Univ Ulsan, Coll Med, Seoul, South Korea
[ 9 ] Ilsan Hosp, Dept Lab Med, Natl Hlth Insurance Serv, Goyang, South Korea
[ 10 ] Hallym Univ, Coll Med, Dept Lab Med, Chunchon, South Korea
[ 11 ] Yonsei Univ, Coll Med, Dept Lab Med, 50-1 Yonsei Ro, Seoul 03722, South Korea
[ 12 ] Keimyung Univ, Sch Med, Dept Lab Med, Daegu, South Korea
[ 13 ] Chungnam Natl Univ, Coll Med, Dept Lab Med, Daejeon, South Korea
"
"摘要
Flow physics plays a key role in nearly every facet of the COVID-19 pandemic. This includes the generation and aerosolization of virus-laden respiratory droplets from a host, its airborne dispersion and deposition on surfaces, as well as the subsequent inhalation of these bioaerosols by unsuspecting recipients. Fluid dynamics is also key to preventative measures such as the use of face masks, hand washing, ventilation of indoor environments and even social distancing. This article summarizes what we know and, more importantly, what we need to learn about the science underlying these issues so that we are better prepared to tackle the next outbreak of COVID-19 or a similar disease.",作者关键词:biomedical flows; aerosols; atomization; particle; fluid flow,文献类型:Editorial Material,JOURNAL OF FLUID MECHANICS,F2,The flow physics of COVID-19,"作者:Mittal, R (Mittal, Rajat)[ 1,2 ] ; Ni, R (Ni, Rui)[ 1 ] ; Seo, JH (Seo, Jung-Hee)[ 1 ]",研究方向:Mechanics; Physics,,出版年: JUL 10 2020,"Johns Hopkins Univ, Dept Mech Engn, Baltimore, MD 21218 USA.
Johns Hopkins Univ, Sch Med, Baltimore, MD 21205 USA.
[ 1 ] Johns Hopkins Univ, Dept Mech Engn, Baltimore, MD 21218 USA
[ 2 ] Johns Hopkins Univ, Sch Med, Baltimore, MD 21205 USA
"
,,文献类型:Letter,WORLD JOURNAL OF EMERGENCY MEDICINE,10.5847/wjem.j.1920-8642.2020.03.013,Myalgia may not be associated with severity of coronavirus disease 2019 (COVID-19),"作者:Lippi, G (Lippi, Giuseppe)[ 1 ] ; Wong, J (Wong, Johnny)[ 2 ] ; Henry, BM (Henry, Brandon Michael)[ 3 ]",研究方向:Emergency Medicine,,出版年: JUL 2020,"Cincinnati Childrens Hosp Med Ctr, Heart Inst, Cardiac Intens Care Unit, Cincinnati, OH 45229 USA.
[ 1 ] Univ Verona, Dept Neurosci Biomed & Movement, Sect Clin Biochem, Verona, Italy
[ 2 ] SUNY Downstate Hlth Sci Univ, Coll Med, New York, NY USA
[ 3 ] Cincinnati Childrens Hosp Med Ctr, Heart Inst, Cardiac Intens Care Unit, Cincinnati, OH 45229 USA
"
,,文献类型:Editorial Material,INTERNATIONAL JOURNAL OF MENTAL HEALTH NURSING,10.1111/inm.12726,The COVID-19 pandemic and mental health impacts,"作者:Usher, K (Usher, Kim)[ 1 ] ; Durkin, J (Durkin, Joanne)[ 1 ] ; Bhullar, N (Bhullar, Navjot)[ 2 ]",研究方向:Nursing; Psychiatry,,出版年: JUN 2020,"Univ New England, Sch Hlth, Armidale, NSW, Australia.
[ 1 ] Univ New England, Sch Hlth, Armidale, NSW, Australia
[ 2 ] Univ New England, Sch Psychol, Armidale, NSW, Australia
"
,,文献类型:Editorial Material,INTERNATIONAL WOUND JOURNAL,10.1111/iwj.13357,"COVID-19 a short-term challenge, telewound a lifetime change","作者:Queen, D (Queen, Douglas); Harding, K (Harding, Keith)",研究方向:Dermatology; Surgery,,出版年: JUN 2020,
"摘要
Background: There's an outbreak of a novel coronavirus (SARS-CoV-2) infection since December 2019, first in China, and currently with more than 80 thousand confirmed infection globally in 29 countries till March 2, 2020. Identification, isolation and caring for patients early are essential to limit human-to-human transmission including reducing secondary infections among close contacts and health care workers, preventing transmission amplification events. The RT-PCR detection of viral nucleic acid test (NAT) was one of the most quickly established laboratory diagnosis method in a novel viral pandemic, just as in this COVID-19 outbreak.

Methods: 4880 cases that had respiratory infection symptoms or close contact with COVID-19 patients in hospital in Wuhan, China, were tested for SARS-CoV-2 infection by use of quantitative RT-PCR (qRT-PCR) on samples from the respiratory tract. Positive rates were calculated in groups divided by genders or ages.

Results: The positive rate was about 38% for the total 4880 specimens. Male and older population had a significant higher positive rates. However, 57% was positive among the specimens from the Fever Clinics. Binary logistic regression analysis showed that age, not gender, was the risk factor for SARS-CoV-2 infection in fever clinics.

Conclusions: Therefore, we concluded that viral NAT played an important role in identifying SARS-CoV-2 infection.",作者关键词:SARS-CoV-2; COVID-19; Nucleic acid test; Positive rate,文献类型:Article,CLINICA CHIMICA ACTA,10.1016/j.cca.2020.03.009,"Positive rate of RT-PCR detection of SARS-CoV-2 infection in 4880 cases from one hospital in Wuhan, China, from Jan to Feb 2020","作者:Liu, R (Liu, Rui)[ 1 ] ; Han, H (Han, Huan)[ 1 ] ; Liu, F (Liu, Fang)[ 2,3 ] ; Lv, ZH (Lv, Zhihua)[ 1 ] ; Wu, KL (Wu, Kailang)[ 2 ] ; Liu, YL (Liu, Yingle)[ 2 ] ; Feng, Y (Feng, Yong)[ 4 ] ; Zhu, CL (Zhu, Chengliang)[ 1 ]",研究方向:Medical Laboratory Technology,National Mega Project on Major Infectious Disease Prevention ,出版年: JUN 2020,"Wuhan Univ, Dept Clin Lab, Renmin Hosp, Wuhan 430060, Hubei, Peoples R China.
Wuhan Univ, Sch Basic Med Sci, Wuhan 430071, Hubei, Peoples R China.
[ 1 ] Wuhan Univ, Dept Clin Lab, Renmin Hosp, Wuhan 430060, Hubei, Peoples R China
[ 2 ] Wuhan Univ, Dept State Key Lab Virol, Coll Life Sci, Wuhan 430072, Hubei, Peoples R China
[ 3 ] Dept Wuhan Inst Biotechnol, Wuhan 430075, Hubei, Peoples R China
[ 4 ] Wuhan Univ, Sch Basic Med Sci, Wuhan 430071, Hubei, Peoples R China
"
,作者关键词:Coronavirus; COVID-19; Procalcitonin; Prognosis,文献类型:Letter,CLINICA CHIMICA ACTA,10.1016/j.cca.2020.03.004,Procalcitonin in patients with severe coronavirus disease 2019 (COVID-19): A meta-analysis,"作者:Lippi, G (Lippi, Giuseppe)[ 1 ] ; Plebani, M (Plebani, Mario)[ 2 ]",研究方向:Medical Laboratory Technology,,出版年: JUN 2020,"Univ Hosp Padova, Dept Lab Med, Via Giustiniani 2, I-35128 Padua, Italy.
[ 1 ] Univ Verona, Dept Neurosci Biomed & Movement, Sect Clin Biochem, Verona, Italy
[ 2 ] Univ Hosp Padova, Dept Lab Med, Via Giustiniani 2, I-35128 Padua, Italy
"
,,文献类型:Editorial Material,CLINICA CHIMICA ACTA,10.1016/j.cca.2020.03.031,The host's angiotensin-converting enzyme polymorphism may explain epidemiological findings in COVID-19 infections,"作者:Delanghe, JR (Delanghe, Joris R.)[ 1 ] ; Speeckaert, MM (Speeckaert, Marijn M.)[ 2 ] ; De Buyzere, ML (De Buyzere, Marc L.)[ 2 ]",研究方向:Medical Laboratory Technology,,出版年: JUN 2020,"Univ Ghent, Dept Clin Chem, C Heymanslaan 10, B-9000 Ghent, Belgium.
[ 1 ] Univ Ghent, Dept Clin Chem, C Heymanslaan 10, B-9000 Ghent, Belgium
[ 2 ] Univ Ghent, Dept Internal Med, Ghent, Belgium
"
