,DOI,KeyWords,fund,public_date,title,author,author info,abstract,type,jounary,category
1,UNSP 1741325,作者关键词:Wildlife conservation; food safety; zoonotic disease; human exposure; novel virus,National Key R&D Program of China ,出版年: DEC 16 2020,Regulating wildlife conservation and food safety to prevent human exposure to novel virus,"作者:Yuan, JJ (Yuan, Jingjing)[ 1,2 ] ; Lu, YL (Lu, Yonglong)[ 1,2,3 ] ; Cao, XH (Cao, Xianghui)[ 2,3 ] ; Cui, HT (Cui, Haotian)[ 2,3 ]","Xiamen Univ, Coll Environm & Ecol, Key Lab, Minist Educ Coastal Wetland Ecosyst, Xiamen 361102, Fujian, Peoples R China.
[ 1 ] Xiamen Univ, Coll Environm & Ecol, Key Lab, Minist Educ Coastal Wetland Ecosyst, Xiamen 361102, Fujian, Peoples R China
[ 2 ] Chinese Acad Sci, Res Ctr Ecoenvironm Sci, State Key Lab Urban & Reg Ecol, Beijing, Peoples R China
[ 3 ] Univ Chinese Acad Sci, Beijing, Peoples R China
","摘要
Epidemiological investigation suggested that the current outbreak of COVID-19 virus was associated with a seafood market, and COVID-19 has been identified a probable bat origin. Similar to SARS event in 2003, such a zoonotic disease showed an animal-to-person and even more serious person-to-person spread, and posed a significant threat to the global health and socio-economic development. We analyzed the association of both outbreaks with wildlife diet in China and proposed suggestions for regulating wildlife conservation and food safety to prevent human exposure to the novel virus, including increasing social awareness of hazards in eating wild animals, strengthening legislation on eating and trading of wild animals, improving the standards for food safety, and establishing market supervision mechanism. Regulatory intervention is not only critical for China but also for other countries where wildlife hunting is prevalent to prevent from novel virus exposures.",文献类型:Article,ECOSYSTEM HEALTH AND SUSTAINABILITY,研究方向:Environmental Sciences & Ecology
2,10.1016/j.cca.2020.03.009,作者关键词:SARS-CoV-2; COVID-19; Nucleic acid test; Positive rate,National Mega Project on Major Infectious Disease Prevention ,出版年: JUN 2020,"Positive rate of RT-PCR detection of SARS-CoV-2 infection in 4880 cases from one hospital in Wuhan, China, from Jan to Feb 2020","作者:Liu, R (Liu, Rui)[ 1 ] ; Han, H (Han, Huan)[ 1 ] ; Liu, F (Liu, Fang)[ 2,3 ] ; Lv, ZH (Lv, Zhihua)[ 1 ] ; Wu, KL (Wu, Kailang)[ 2 ] ; Liu, YL (Liu, Yingle)[ 2 ] ; Feng, Y (Feng, Yong)[ 4 ] ; Zhu, CL (Zhu, Chengliang)[ 1 ]","Wuhan Univ, Dept Clin Lab, Renmin Hosp, Wuhan 430060, Hubei, Peoples R China.
Wuhan Univ, Sch Basic Med Sci, Wuhan 430071, Hubei, Peoples R China.
[ 1 ] Wuhan Univ, Dept Clin Lab, Renmin Hosp, Wuhan 430060, Hubei, Peoples R China
[ 2 ] Wuhan Univ, Dept State Key Lab Virol, Coll Life Sci, Wuhan 430072, Hubei, Peoples R China
[ 3 ] Dept Wuhan Inst Biotechnol, Wuhan 430075, Hubei, Peoples R China
[ 4 ] Wuhan Univ, Sch Basic Med Sci, Wuhan 430071, Hubei, Peoples R China
","摘要
Background: There's an outbreak of a novel coronavirus (SARS-CoV-2) infection since December 2019, first in China, and currently with more than 80 thousand confirmed infection globally in 29 countries till March 2, 2020. Identification, isolation and caring for patients early are essential to limit human-to-human transmission including reducing secondary infections among close contacts and health care workers, preventing transmission amplification events. The RT-PCR detection of viral nucleic acid test (NAT) was one of the most quickly established laboratory diagnosis method in a novel viral pandemic, just as in this COVID-19 outbreak.

Methods: 4880 cases that had respiratory infection symptoms or close contact with COVID-19 patients in hospital in Wuhan, China, were tested for SARS-CoV-2 infection by use of quantitative RT-PCR (qRT-PCR) on samples from the respiratory tract. Positive rates were calculated in groups divided by genders or ages.

Results: The positive rate was about 38% for the total 4880 specimens. Male and older population had a significant higher positive rates. However, 57% was positive among the specimens from the Fever Clinics. Binary logistic regression analysis showed that age, not gender, was the risk factor for SARS-CoV-2 infection in fever clinics.

Conclusions: Therefore, we concluded that viral NAT played an important role in identifying SARS-CoV-2 infection.",文献类型:Article,CLINICA CHIMICA ACTA,研究方向:Medical Laboratory Technology
3,10.1016/j.virol.2020.03.001,作者关键词:TGEV; Recombination; Phylogenetic; Pathogenicity,"National Key Research and Development Program, China ",出版年: JUN 2020,Characterization and evaluation of the pathogenicity of a natural recombinant transmissible gastroenteritis virus in China,"作者:Guo, RL (Guo, Rongli)[ 1,2,3 ] ; Fan, BC (Fan, Baochao)[ 1,2,3,4 ] ; Chang, XJ (Chang, Xinjian)[ 1,2,3 ] ; Zhou, JZ (Zhou, Jinzhu)[ 1,2,3 ] ; Zhao, YX (Zhao, Yongxiang)[ 1,2,3 ] ; Shi, DY (Shi, Danyi)[ 1,2,3,5 ] ; Yu, ZY (Yu, Zhengyu)[ 1,2,3 ] ; He, KW (He, Kongwang)[ 1,2,3 ] ; Li, B (Li, Bin)[ 1,2,3,6 ]","Jiangsu Acad Agr Sci, Inst Vet Med, 50 Zhong Ling St, Nanjing 210014, Jiangsu, Peoples R China.
[ 1 ] Jiangsu Acad Agr Sci, Inst Vet Med, Key Lab Vet Biol Engn & Technol, Minist Agr, Nanjing 210014, Jiangsu, Peoples R China
[ 2 ] Yangzhou Univ, Jiangsu Coinnovat Ctr Prevent & Control Important, Yangzhou 225000, Jiangsu, Peoples R China
[ 3 ] Yangzhou Univ, Jiangsu Key Lab Zoonoses, Yangzhou 225000, Jiangsu, Peoples R China
[ 4 ] Jiangsu Key Lab Food Qual & Safety, State Key Lab Cultivat Base, Minist Sci & Technol, Nanjing 210014, Peoples R China
[ 5 ] Hebei Normal Univ Sci & Technol, Coll Anim Sci & Technol, Qinhuangdao 066004, Hebei, Peoples R China
[ 6 ] Jiangsu Univ, Sch Food & Biol Engn, Zhenjiang 212013, Jiangsu, Peoples R China
","摘要
Porcine transmissible gastroenteritis virus (TGEV) is one of the major etiological agents of viral enteritis and fetal diarrhea in suckling piglets. In this study, a TGEV JS2012 strain was isolated from the feces of piglets in Jiangsu Province, China. The phylogenetic analysis showed that TGEV JS2012 was placed between the Purdue and the Miller clusters. Analysis of recombination confirmed that TGEV JS2012 is a natural recombinant strain between Miller M6 and Purdue 115. Similar to Miller M6, virulent Purdue and China strain TS, in S gene the JS2012 maintained genetic integrity and the characteristics of the TGEV virulent strains. In vivo, TGEV JS2012 caused 100% mortality in newborn piglets, indicating the strong pathogenicity of this isolate. These results reveal that the JS2012 is a novel natural recombinant TGEV with high virulence. Our findings provide valuable information about genetic diversity and infection mechanism of the coronavirus family.",文献类型:Article,VIROLOGY,研究方向:Virology
4,10.1002/jmv.25722,作者关键词:2019-nCoV; coronavirus; COVID-19; epidemiology; pneumonia; SARS-CoV-2,,出版年: JUN 2020,Understanding of COVID-19 based on current evidence,"作者:Sun, PF (Sun, Pengfei)[ 1 ] ; Lu, XH (Lu, Xiaosheng)[ 2 ] ; Xu, C (Xu, Chao)[ 1 ] ; Sun, WJ (Sun, Wenjuan)[ 3 ] ; Pan, B (Pan, Bo)[ 4 ]","Chinese Acad Med Sci, Peking Union Med Coll, Plast Surg Hosp, Dept Plast Surg, Bada Rd, Beijing 100144, Peoples R China.
[ 1 ] Zibo Cent Hosp, Dept Plast Surg, Zibo, Peoples R China
[ 2 ] Weifang Med Univ, Affiliated Hosp, Dept Plast Surg, Weifang, Peoples R China
[ 3 ] Peoples Hosp Boxing, Dept Med, Binzhou, Peoples R China
[ 4 ] Chinese Acad Med Sci, Peking Union Med Coll, Plast Surg Hosp, Dept Plast Surg, Bada Rd, Beijing 100144, Peoples R China
","摘要
Since December 2019, a series of unexplained pneumonia cases have been reported in Wuhan, China. On 12 January 2020, the World Health Organization (WHO) temporarily named this new virus as the 2019 novel coronavirus (2019-nCoV). On 11 February 2020, the WHO officially named the disease caused by the 2019-nCoV as coronavirus disease (COVID-19). The COVID-19 epidemic is spreading all over the world, especially in China. Based on the published evidence, we systematically discuss the characteristics of COVID-19 in the hope of providing a reference for future studies and help for the prevention and control of the COVID-19 epidemic.",文献类型:Review,JOURNAL OF MEDICAL VIROLOGY,研究方向:Virology
5,10.1002/jmv.25719,作者关键词:epidemiology; infection; pandemics; pathogenesis; protein-protein interaction analysis; research and analysis methods,,出版年: JUN 2020,COVID-2019: The role of the nsp2 and nsp3 in its pathogenesis,"作者:Angeletti, S (Angeletti, Silvia)[ 1 ] ; Benvenuto, D (Benvenuto, Domenico)[ 2 ] ; Bianchi, M (Bianchi, Martina)[ 3 ] ; Giovanetti, M (Giovanetti, Marta)[ 4 ] ; Pascarella, S (Pascarella, Stefano)[ 3 ] ; Ciccozzi, M (Ciccozzi, Massimo)[ 2 ]","Univ Campus Biomed Rome, Unit Clin Lab Sci, I-00128 Rome, Italy.
[ 1 ] Univ Campus Biomed Rome, Unit Clin Lab Sci, I-00128 Rome, Italy
[ 2 ] Univ Campus Biomed Rome, Unit Med Stat & Mol Epidemiol, Rome, Italy
[ 3 ] Univ Roma La Sapienza, Dept Biochem Sci A Rossi Fanelli, Rome, Italy
[ 4 ] Fundacao Oswaldo Cruz, Oswaldo Cruz Inst, Flavivirus Lab, Rio De Janeiro, Brazil
","摘要
Last December 2019, a new virus, named novel Coronavirus (COVID-2019) causing many cases of severe pneumonia was reported in Wuhan, China. The virus knowledge is limited and especially about COVID-2019 pathogenesis. The Open Reading Frame 1ab (ORF1ab) of COVID-2019 has been analyzed to evidence the presence of mutation caused by selective pressure on the virus. For selective pressure analysis fast-unconstrained Bayesian approximation (FUBAR) was used. Homology modelling has been performed by SwissModel and HHPred servers. The presence of transmembrane helical segments in Coronavirus ORF1ab non structural protein 2 (nsp2) and nsp3 was tested by TMHMM, MEMSAT, and MEMPACK tools. Three-dimensional structures have been analyzed and displayed using PyMOL. FUBAR analysis revealed the presence of potential sites under positive selective pressure (P < .05). Position 723 in the COVID-2019 has a serine instead a glycine residue, while at aminoacidic position 1010 a proline instead an isoleucine. Significant (P < .05) pervasive negative selection in 2416 sites (55%) was found. The positive selective pressure could account for some clinical features of this virus compared with severe acute respiratory syndrome (SARS) and Bat SARS-like CoV. The stabilizing mutation falling in the endosome-associated-protein-like domain of the nsp2 protein could account for COVID-2019 high ability of contagious, while the destabilizing mutation in nsp3 proteins could suggest a potential mechanism differentiating COVID-2019 from SARS. These data could be helpful for further investigation aimed to identify potential therapeutic targets or vaccine strategy, especially in the actual moment when the epidemic is ongoing and the scientific community is trying to enrich knowledge about this new viral pathogen.",文献类型:Article,JOURNAL OF MEDICAL VIROLOGY,研究方向:Virology
6,10.1002/jmv.25725,作者关键词:coronavirus; horizontal transmission; infection,,出版年: JUN 2020,Evaluation of coronavirus in tears and conjunctival secretions of patients with SARS-CoV-2 infection,"作者:Xia, JH (Xia, Jianhua)[ 1 ] ; Tong, JP (Tong, Jianping)[ 1 ] ; Liu, MY (Liu, Mengyun)[ 1 ] ; Shen, Y (Shen, Ye)[ 1 ] ; Guo, DY (Guo, Dongyu)[ 1 ]","Zhejiang Univ, Sch Med, Affiliated Hosp 1, Dept Ophthalmol, Hangzhou 310003, Zhejiang, Peoples R China.
[ 1 ] Zhejiang Univ, Sch Med, Affiliated Hosp 1, Dept Ophthalmol, Hangzhou 310003, Zhejiang, Peoples R China
","摘要
Objective This study aimed to assess the presence of novel coronavirus in tears and conjunctival secretions of SARS-CoV-2-infected patients.

Methods A prospective interventional case series study was performed, and 30 confirmed novel coronavirus pneumonia (NCP) patients were selected at the First Affiliated Hospital of Zhejiang University from 26 January 2020 to 9 February 2020. At an interval of 2 to 3 days, tear and conjunctival secretions were collected twice with disposable sampling swabs for reverse-transcription polymerase chain reaction (RT-PCR) assay.

Results Twenty-one common-type and nine severe-type NCP patients were enrolled. Two samples of tear and conjunctival secretions were obtained from the only one patient with conjunctivitis yielded positive RT-PCR results. Fifty-eight samples from other patents were all negative.

Conclusion We speculate that SARS-CoV-2 may be detected in the tears and conjunctival secretions in NCP patients with conjunctivitis.",文献类型:Article,JOURNAL OF MEDICAL VIROLOGY,研究方向:Virology
7,10.1002/jmv.25726,作者关键词:angiotensin-converting enzyme 2 (ACE2); Coronavirus Disease 2019 (COVID-19); receptor-binding domain (RBD) of coronavirus; SARS-CoV-2; SARS-CoV-2 spike protein (S),National Natural Science Foundation of China,出版年: JUN 2020,Composition and divergence of coronavirus spike proteins and host ACE2 receptors predict potential intermediate hosts of SARS-CoV-2,"作者:Liu, ZX (Liu, Zhixin)[ 1,2,3 ] ; Xiao, X (Xiao, Xiao)[ 1 ] ; Wei, XL (Wei, Xiuli)[ 1 ] ; Li, J (Li, Jian)[ 1 ] ; Yang, J (Yang, Jing)[ 1 ] ; Tan, HB (Tan, Huabing)[ 1 ] ; Zhu, JY (Zhu, Jianyong)[ 1 ] ; Zhang, QW (Zhang, Qiwei)[ 4,5 ] ; Wu, JG (Wu, Jianguo)[ 2,3,4 ] ; Liu, L (Liu, Long)[ 1 ]","Hubei Univ Med, Renmin Hosp, Sch Basic Med Sci, Dept Resp,Dept Infect Dis, Shiyan 442000, Peoples R China.
Jinan Univ, Inst Med Microbiol, Guangdong Prov Key Lab Virol, Guangzhou 510632, Peoples R China.
[ 1 ] Hubei Univ Med, Renmin Hosp, Sch Basic Med Sci, Dept Resp,Dept Infect Dis, Shiyan 442000, Peoples R China
[ 2 ] Wuhan Univ, State Key Lab Virol, Wuhan, Peoples R China
[ 3 ] Wuhan Univ, Coll Life Sci, Wuhan, Peoples R China
[ 4 ] Jinan Univ, Inst Med Microbiol, Guangdong Prov Key Lab Virol, Guangzhou 510632, Peoples R China
[ 5 ] Southern Med Univ, Sch Publ Hlth, Guangzhou, Peoples R China
","摘要
From the beginning of 2002 and 2012, severe respiratory syndrome coronavirus (SARS-CoV) and Middle East respiratory syndrome coronavirus (MERS-CoV) crossed the species barriers to infect humans, causing thousands of infections and hundreds of deaths, respectively. Currently, a novel coronavirus (SARS-CoV-2), which has become the cause of the outbreak of Coronavirus Disease 2019 (COVID-19), was discovered. Until 18 February 2020, there were 72 533 confirmed COVID-19 cases (including 10 644 severe cases) and 1872 deaths in China. SARS-CoV-2 is spreading among the public and causing substantial burden due to its human-to-human transmission. However, the intermediate host of SARS-CoV-2 is still unclear. Finding the possible intermediate host of SARS-CoV-2 is imperative to prevent further spread of the epidemic. In this study, we used systematic comparison and analysis to predict the interaction between the receptor-binding domain (RBD) of coronavirus spike protein and the host receptor, angiotensin-converting enzyme 2 (ACE2). The interaction between the key amino acids of S protein RBD and ACE2 indicated that, other than pangolins and snakes, as previously suggested, turtles (Chrysemys picta bellii, Chelonia mydas, and Pelodiscus sinensis) may act as the potential intermediate hosts transmitting SARS-CoV-2 to humans.",文献类型:Article,JOURNAL OF MEDICAL VIROLOGY,研究方向:Virology
8,10.1002/jmv.25736,作者关键词:epitopes; immunoinformatics; SARS-COV-2; vaccine,National Research Foundation of Korea,出版年: JUN 2020,Development of epitope-based peptide vaccine against novel coronavirus 2019 (SARS-COV-2): Immunoinformatics approach,"作者:Bhattacharya, M (Bhattacharya, Manojit)[ 1,2 ] ; Sharma, AR (Sharma, Ashish R.)[ 1 ] ; Patra, P (Patra, Prasanta)[ 2 ] ; Ghosh, P (Ghosh, Pratik)[ 2 ] ; Sharma, G (Sharma, Garima)[ 3 ] ; Patra, BC (Patra, Bidhan C.)[ 2 ] ; Lee, SS (Lee, Sang-Soo)[ 1 ] ; Chakraborty, C (Chakraborty, Chiranjib)[ 1,4 ]","Hallym Univ, Chuncheon Sacred Heart Hosp, Inst Skeletal Aging & Orthoped Surg, Chuncheon Si 24252, Gangwon Do, South Korea.
Adamas Univ, Sch Life Sci & Biotechnol, Dept Biotechnol, Barasat Barrackpore Rd, Kolkata 700126, W Bengal, India.
[ 1 ] Hallym Univ, Chuncheon Sacred Heart Hosp, Inst Skeletal Aging & Orthoped Surg, Chuncheon Si 24252, Gangwon Do, South Korea
[ 2 ] Vidyasagar Univ, Dept Zool, Midnapore, W Bengal, India
[ 3 ] Kangwon Natl Univ, Coll Pharm, Neuropsychopharmacol & Toxicol Program, Chunchon, South Korea
[ 4 ] Adamas Univ, Sch Life Sci & Biotechnol, Dept Biotechnol, Barasat Barrackpore Rd, Kolkata 700126, W Bengal, India
","摘要
Recently, a novel coronavirus (SARS-COV-2) emerged which is responsible for the recent outbreak in Wuhan, China. Genetically, it is closely related to SARS-CoV and MERS-CoV. The situation is getting worse and worse, therefore, there is an urgent need for designing a suitable peptide vaccine component against the SARS-COV-2. Here, we characterized spike glycoprotein to obtain immunogenic epitopes. Next, we chose 13 Major Histocompatibility Complex-(MHC) I and 3 MHC-II epitopes, having antigenic properties. These epitopes are usually linked to specific linkers to build vaccine components and molecularly dock on toll-like receptor-5 to get binding affinity. Therefore, to provide a fast immunogenic profile of these epitopes, we performed immunoinformatics analysis so that the rapid development of the vaccine might bring this disastrous situation to the end earlier.",文献类型:Article,JOURNAL OF MEDICAL VIROLOGY,研究方向:Virology
9,10.1002/jmv.25749,作者关键词:COVID-19; diagnosis; novel coronavirus; SARS-CoV-2; transmission,,出版年: JUN 2020,The transmission and diagnosis of 2019 novel coronavirus infection disease (COVID-19): A Chinese perspective,"作者:Han, Y (Han, Yu)[ 1 ] ; Yang, HL (Yang, Hailan)[ 2 ]","Shanxi Med Univ, Hosp 1, Dept Obstet, Taiyuan 030001, Shanxi, Peoples R China.
[ 1 ] Shanxi Med Univ, Dept Clin Med Coll 1, Taiyuan, Shanxi, Peoples R China
[ 2 ] Shanxi Med Univ, Hosp 1, Dept Obstet, Taiyuan 030001, Shanxi, Peoples R China
","摘要
2019 novel coronavirus (SARS-CoV-2), which originated in Wuhan, China, has attracted the world's attention over the last month. The Chinese government has taken emergency measures to control the outbreak and has undertaken initial steps in the diagnosis and treatment of 2019 novel coronavirus infection disease (COVID-19). However, SARS-CoV-2 possesses powerful pathogenicity as well as transmissibility and still holds many mysteries that are yet to be solved, such as whether the virus can be transmitted by asymptomatic patients or by mothers to their infants. Our research presents selected available cases of COVID-19 in China to better understand the transmission and diagnosis regarding this infectious disease.",文献类型:Article,JOURNAL OF MEDICAL VIROLOGY,研究方向:Virology
10,10.1002/jmv.25750,作者关键词:basic reproductive number; COVID-19; data fitting; data simulation; effective reproductive number; effectiveness; intervention; SARS-CoV-2; SEIR; sensitivity analysis; transmission,,出版年: JUN 2020,Transmission dynamics of the COVID-19 outbreak and effectiveness of government interventions: A data-driven analysis,"作者:Fang, YQ (Fang, Yaqing)[ 1 ] ; Nie, YT (Nie, Yiting)[ 2 ] ; Penny, M (Penny, Marshare)[ 3 ]","Hangzhou Med Coll, Sch Publ Hlth, Hangzhou 310053, Zhejiang, Peoples R China.
[ 1 ] Hangzhou Med Coll, Sch Publ Hlth, Hangzhou 310053, Zhejiang, Peoples R China
[ 2 ] Harbin Med Univ, Grad Sch, Harbin, Peoples R China
[ 3 ] Calif Baptist Univ, Dept Publ Hlth Sci, Riverside, CA USA
","摘要
Using the parameterized susceptible-exposed-infectious-recovered model, we simulated the spread dynamics of coronavirus disease 2019 (COVID-19) outbreak and impact of different control measures, conducted the sensitivity analysis to identify the key factor, plotted the trend curve of effective reproductive number (R), and performed data fitting after the simulation. By simulation and data fitting, the model showed the peak existing confirmed cases of 59 769 arriving on 15 February 2020, with the coefficient of determination close to 1 and the fitting bias 3.02%, suggesting high precision of the data-fitting results. More rigorous government control policies were associated with a slower increase in the infected population. Isolation and protective procedures would be less effective as more cases accrue, so the optimization of the treatment plan and the development of specific drugs would be of more importance. There was an upward trend of R in the beginning, followed by a downward trend, a temporary rebound, and another continuous decline. The feature of high infectiousness for severe acute respiratory syndrome coronavirus 2(SARS-CoV-2) led to an upward trend, and government measures contributed to the temporary rebound and declines. The declines of R could be exploited as strong evidence for the effectiveness of the interventions. Evidence from the four-phase stringent measures showed that it was significant to ensure early detection, early isolation, early treatment, adequate medical supplies, patients' being admitted to designated hospitals, and comprehensive therapeutic strategy. Collaborative efforts are required to combat the novel coronavirus, focusing on both persistent strict domestic interventions and vigilance against exogenous imported cases.",文献类型:Article,JOURNAL OF MEDICAL VIROLOGY,研究方向:Virology
