,DOI,KeyWords,fund,public_date,title,author,author info,abstract,type,jounary,category
1,10.3343/alm.2020.40.5.349,作者关键词:COVID-19; SARS-CoV-2; Korea; Diagnostic testing; Outbreak; Emergency use authorization,,出版年: SEP 2020,COVID-19 Testing in South Korea: Current Status and the Need for Faster Diagnostics,"作者:Kim, YJ (Kim, Young Jin)[ 1 ] ; Sung, H (Sung, Heungsup)[ 2,3 ] ; Ki, CS (Ki, Chang-Seok)[ 4 ] ; Hur, M (Hur, Mina)[ 5 ]","Konkuk Univ, Med Ctr, Sch Med, Dept Lab Med, 120-1 Neungdong Ro, Seoul 05030, South Korea.
[ 1 ] Kyung Hee Univ, Kyung Hee Univ Hosp, Sch Med, Dept Lab Med, Seoul, South Korea
[ 2 ] Univ Ulsan, Coll Med, Dept Lab Med, Seoul, South Korea
[ 3 ] Asan Med Ctr, Seoul, South Korea
[ 4 ] GC Genome, Yongin, South Korea
[ 5 ] Konkuk Univ, Sch Med, Dept Lab Med, Seoul, South Korea
",,文献类型:Editorial Material,ANNALS OF LABORATORY MEDICINE,研究方向:Medical Laboratory Technology
2,10.3343/alm.2020.40.5.351,作者关键词:COVID-19; Outbreak; Laboratory diagnosis; Guidelines; Korea,,出版年: SEP 2020,Guidelines for Laboratory Diagnosis of Coronavirus Disease 2019 (COVID-19) in Korea,"作者:Hong, KH (Hong, Ki Ho)[ 1 ] ; Lee, SW (Lee, Sang Won)[ 2 ] ; Kim, TS (Kim, Taek Soo)[ 3 ] ; Huh, HJ (Huh, Hee Jae)[ 4 ] ; Lee, J (Lee, Jaehyeon)[ 5 ] ; Kim, SY (Kim, So Yeon)[ 6 ] ; Park, JS (Park, Jae-Sun)[ 2 ] ; Kim, GJ (Kim, Gab Jeong)[ 2 ] ; Sung, H (Sung, Heungsup)[ 7,8 ] ; Roh, KH (Roh, Kyoung Ho)[ 9 ] ...更多内容","Yonsei Univ, Coll Med, Dept Lab Med, 50-1 Yonsei Ro, Seoul 03722, South Korea.
Ctr Dis Control & Prevent, Ctr Lab Control Infect Dis, Osong Hlth Technol Adm Complex, 187 Osongsaengmyeong 2 Ro, Cheongju 28159, South Korea.
[ 1 ] Seoul Med Ctr, Dept Lab Med, Seoul, South Korea
[ 2 ] Ctr Dis Control & Prevent, Ctr Lab Control Infect Dis, Osong, South Korea
[ 3 ] Seoul Natl Univ Hosp, Dept Lab Med, Seoul, South Korea
[ 4 ] Sungkyunkwan Univ, Samsung Med Ctr, Sch Med, Dept Lab Med & Genet, Seoul, South Korea
[ 5 ] Jeonbuk Natl Univ, Med Sch & Hosp, Dept Lab Med, Jeonju, South Korea
[ 6 ] Natl Med Ctr, Dept Lab Med, Seoul, South Korea
[ 7 ] Asan Med Ctr, Dept Lab Med, Seoul, South Korea
[ 8 ] Univ Ulsan, Coll Med, Seoul, South Korea
[ 9 ] Ilsan Hosp, Dept Lab Med, Natl Hlth Insurance Serv, Goyang, South Korea
[ 10 ] Hallym Univ, Coll Med, Dept Lab Med, Chunchon, South Korea
[ 11 ] Yonsei Univ, Coll Med, Dept Lab Med, 50-1 Yonsei Ro, Seoul 03722, South Korea
[ 12 ] Keimyung Univ, Sch Med, Dept Lab Med, Daegu, South Korea
[ 13 ] Chungnam Natl Univ, Coll Med, Dept Lab Med, Daejeon, South Korea
","摘要
The outbreak of coronavirus disease 2019 (COVID-19), which began in December 2019, is still ongoing in Korea, with >9,000 confirmed cases as of March 25, 2020. COVID-19 is a severe acute respiratory syndrome Coronavirus 2 (SARS-CoV-2) infection, and real-time reverse transcription-PCR is currently the most reliable diagnostic method for COVID-19 around the world. Korean Society for Laboratory Medicine and the Korea Centers for Disease Prevention and Control propose guidelines for diagnosing COVID-19 in clinical laboratories in Korea. These guidelines are based on other related domestic and international guidelines, as well as expert opinions and include the selection of test subjects, selection of specimens, diagnostic methods, interpretation of test results, and biosafety.",文献类型:Article,ANNALS OF LABORATORY MEDICINE,研究方向:Medical Laboratory Technology
3,10.1016/j.cca.2020.03.009,作者关键词:SARS-CoV-2; COVID-19; Nucleic acid test; Positive rate,National Mega Project on Major Infectious Disease Prevention ,出版年: JUN 2020,"Positive rate of RT-PCR detection of SARS-CoV-2 infection in 4880 cases from one hospital in Wuhan, China, from Jan to Feb 2020","作者:Liu, R (Liu, Rui)[ 1 ] ; Han, H (Han, Huan)[ 1 ] ; Liu, F (Liu, Fang)[ 2,3 ] ; Lv, ZH (Lv, Zhihua)[ 1 ] ; Wu, KL (Wu, Kailang)[ 2 ] ; Liu, YL (Liu, Yingle)[ 2 ] ; Feng, Y (Feng, Yong)[ 4 ] ; Zhu, CL (Zhu, Chengliang)[ 1 ]","Wuhan Univ, Dept Clin Lab, Renmin Hosp, Wuhan 430060, Hubei, Peoples R China.
Wuhan Univ, Sch Basic Med Sci, Wuhan 430071, Hubei, Peoples R China.
[ 1 ] Wuhan Univ, Dept Clin Lab, Renmin Hosp, Wuhan 430060, Hubei, Peoples R China
[ 2 ] Wuhan Univ, Dept State Key Lab Virol, Coll Life Sci, Wuhan 430072, Hubei, Peoples R China
[ 3 ] Dept Wuhan Inst Biotechnol, Wuhan 430075, Hubei, Peoples R China
[ 4 ] Wuhan Univ, Sch Basic Med Sci, Wuhan 430071, Hubei, Peoples R China
","摘要
Background: There's an outbreak of a novel coronavirus (SARS-CoV-2) infection since December 2019, first in China, and currently with more than 80 thousand confirmed infection globally in 29 countries till March 2, 2020. Identification, isolation and caring for patients early are essential to limit human-to-human transmission including reducing secondary infections among close contacts and health care workers, preventing transmission amplification events. The RT-PCR detection of viral nucleic acid test (NAT) was one of the most quickly established laboratory diagnosis method in a novel viral pandemic, just as in this COVID-19 outbreak.

Methods: 4880 cases that had respiratory infection symptoms or close contact with COVID-19 patients in hospital in Wuhan, China, were tested for SARS-CoV-2 infection by use of quantitative RT-PCR (qRT-PCR) on samples from the respiratory tract. Positive rates were calculated in groups divided by genders or ages.

Results: The positive rate was about 38% for the total 4880 specimens. Male and older population had a significant higher positive rates. However, 57% was positive among the specimens from the Fever Clinics. Binary logistic regression analysis showed that age, not gender, was the risk factor for SARS-CoV-2 infection in fever clinics.

Conclusions: Therefore, we concluded that viral NAT played an important role in identifying SARS-CoV-2 infection.",文献类型:Article,CLINICA CHIMICA ACTA,研究方向:Medical Laboratory Technology
4,10.1002/jmv.25732,,National Natural Science Foundation of China,出版年: JUN 2020,"Co-infection of SARS-CoV-2 and HIV in a patient in Wuhan city, China","作者:Zhu, F (Zhu, Feng)[ 1 ] ; Cao, Y (Cao, Yang)[ 2 ] ; Xu, SY (Xu, Shuyun)[ 3 ] ; Zhou, M (Zhou, Min)[ 3 ]","Tongji Hosp, Dept Resp & Crit Care Med, Jie Fang Rd 1095, Wuhan 430030, Peoples R China.
[ 1 ] Huazhong Univ Sci & Technol, Union Hosp, Dept Cardiol, Tongji Med Coll, Wuhan, Peoples R China
[ 2 ] Huazhong Univ Sci & Technol, Tongji Hosp, Dept Hematol, Tongji Med Coll, Wuhan, Peoples R China
[ 3 ] Huazhong Univ Sci & Technol, Tongji Hosp, Dept Resp & Crit Care Med, Tongji Med Coll, Wuhan, Peoples R China
",,文献类型:Letter,JOURNAL OF MEDICAL VIROLOGY,研究方向:Virology
5,10.1002/jmv.25721,,,出版年: JUN 2020,Combination of RT-qPCR testing and clinical features for diagnosis of COVID-19 facilitates management of SARS-CoV-2 outbreak,"作者:Wang, YS (Wang, Yishan)[ 1 ] ; Kang, HYJ (Kang, Hanyujie)[ 1 ] ; Liu, XF (Liu, Xuefeng)[ 2 ] ; Tong, ZH (Tong, Zhaohui)[ 1 ]","Capital Med Univ, Beijing Inst Resp Med, Beijing Chao Yang Hosp, Dept Resp & Crit Care Med, Beijing 100020, Peoples R China.
Georgetown Univ, Med Ctr, Dept Pathol, Washington, DC 20057 USA.
[ 1 ] Capital Med Univ, Beijing Inst Resp Med, Beijing Chao Yang Hosp, Dept Resp & Crit Care Med, Beijing 100020, Peoples R China
[ 2 ] Georgetown Univ, Med Ctr, Dept Pathol, Washington, DC 20057 USA
",,文献类型:Editorial Material,JOURNAL OF MEDICAL VIROLOGY,研究方向:Virology
6,10.1002/jmv.25722,作者关键词:2019-nCoV; coronavirus; COVID-19; epidemiology; pneumonia; SARS-CoV-2,,出版年: JUN 2020,Understanding of COVID-19 based on current evidence,"作者:Sun, PF (Sun, Pengfei)[ 1 ] ; Lu, XH (Lu, Xiaosheng)[ 2 ] ; Xu, C (Xu, Chao)[ 1 ] ; Sun, WJ (Sun, Wenjuan)[ 3 ] ; Pan, B (Pan, Bo)[ 4 ]","Chinese Acad Med Sci, Peking Union Med Coll, Plast Surg Hosp, Dept Plast Surg, Bada Rd, Beijing 100144, Peoples R China.
[ 1 ] Zibo Cent Hosp, Dept Plast Surg, Zibo, Peoples R China
[ 2 ] Weifang Med Univ, Affiliated Hosp, Dept Plast Surg, Weifang, Peoples R China
[ 3 ] Peoples Hosp Boxing, Dept Med, Binzhou, Peoples R China
[ 4 ] Chinese Acad Med Sci, Peking Union Med Coll, Plast Surg Hosp, Dept Plast Surg, Bada Rd, Beijing 100144, Peoples R China
","摘要
Since December 2019, a series of unexplained pneumonia cases have been reported in Wuhan, China. On 12 January 2020, the World Health Organization (WHO) temporarily named this new virus as the 2019 novel coronavirus (2019-nCoV). On 11 February 2020, the WHO officially named the disease caused by the 2019-nCoV as coronavirus disease (COVID-19). The COVID-19 epidemic is spreading all over the world, especially in China. Based on the published evidence, we systematically discuss the characteristics of COVID-19 in the hope of providing a reference for future studies and help for the prevention and control of the COVID-19 epidemic.",文献类型:Review,JOURNAL OF MEDICAL VIROLOGY,研究方向:Virology
7,10.1002/jmv.25728,作者关键词:cell susceptibility; coronavirus; dissemination; nervous system,,出版年: JUN 2020,The neuroinvasive potential of SARS-CoV2 may play a role in the respiratory failure of COVID-19 patients,"作者:Li, YC (Li, Yan-Chao)[ 1 ] ; Bai, WZ (Bai, Wan-Zhu)[ 2 ] ; Hashikawa, T (Hashikawa, Tsutomu)[ 3 ]","Jilin Univ, Dept Histol & Embryol, Coll Basic Med Sci, Norman Bethune Coll Med, Changchun 130021, Jilin, Peoples R China.
[ 1 ] Jilin Univ, Dept Histol & Embryol, Coll Basic Med Sci, Norman Bethune Coll Med, Changchun 130021, Jilin, Peoples R China
[ 2 ] China Acad Chinese Med Sci, Inst Acupuncture & Moxibust, Beijing, Peoples R China
[ 3 ] RIKEN Brain Sci Inst, Adv Technol Dev Grp, Neural Architecture, Saitama, Japan
","摘要
Following the severe acute respiratory syndrome coronavirus (SARS-CoV) and Middle East respiratory syndrome coronavirus (MERS-CoV), another highly pathogenic coronavirus named SARS-CoV-2 (previously known as 2019-nCoV) emerged in December 2019 in Wuhan, China, and rapidly spreads around the world. This virus shares highly homological sequence with SARS-CoV, and causes acute, highly lethal pneumonia coronavirus disease 2019 (COVID-19) with clinical symptoms similar to those reported for SARS-CoV and MERS-CoV. The most characteristic symptom of patients with COVID-19 is respiratory distress, and most of the patients admitted to the intensive care could not breathe spontaneously. Additionally, some patients with COVID-19 also showed neurologic signs, such as headache, nausea, and vomiting. Increasing evidence shows that coronaviruses are not always confined to the respiratory tract and that they may also invade the central nervous system inducing neurological diseases. The infection of SARS-CoV has been reported in the brains from both patients and experimental animals, where the brainstem was heavily infected. Furthermore, some coronaviruses have been demonstrated able to spread via a synapse-connected route to the medullary cardiorespiratory center from the mechanoreceptors and chemoreceptors in the lung and lower respiratory airways. Considering the high similarity between SARS-CoV and SARS-CoV2, it remains to make clear whether the potential invasion of SARS-CoV2 is partially responsible for the acute respiratory failure of patients with COVID-19. Awareness of this may have a guiding significance for the prevention and treatment of the SARS-CoV-2-induced respiratory failure.",文献类型:Review,JOURNAL OF MEDICAL VIROLOGY,研究方向:Virology
8,10.1002/jmv.25740,,,出版年: JUN 2020,Coronavirus disease (COVID-19) and neonate: What neonatologist need to know,"作者:Lu, Q (Lu, Qi)[ 1 ] ; Shi, Y (Shi, Yuan)[ 1 ]","Chongqing Med Univ, Childrens Hosp, Key Lab Child Dev & Disorders, Minist Educ,Dept Neonatol,Key Lab Pediat Chongqin, Chongqing 400014, Peoples R China.
[ 1 ] Chongqing Med Univ, Childrens Hosp, Key Lab Child Dev & Disorders, Minist Educ,Dept Neonatol,Key Lab Pediat Chongqin, Chongqing 400014, Peoples R China
","摘要
Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) cause china epidemics with high morbidity and mortality, the infection has been transmitted to other countries. About three neonates and more than 230 children cases are reported. The disease condition of the main children was mild. There is currently no evidence that SARS-CoV-2 can be transmitted transplacentally from mother to the newborn. The treatment strategy for children with Coronavirus disease (COVID-19) is based on adult experience. Thus far, no deaths have been reported in the pediatric age group. This review describes the current understanding of COVID-19 infection in newborns and children.",文献类型:Review,JOURNAL OF MEDICAL VIROLOGY,研究方向:Virology
9,10.1002/jmv.25725,作者关键词:coronavirus; horizontal transmission; infection,,出版年: JUN 2020,Evaluation of coronavirus in tears and conjunctival secretions of patients with SARS-CoV-2 infection,"作者:Xia, JH (Xia, Jianhua)[ 1 ] ; Tong, JP (Tong, Jianping)[ 1 ] ; Liu, MY (Liu, Mengyun)[ 1 ] ; Shen, Y (Shen, Ye)[ 1 ] ; Guo, DY (Guo, Dongyu)[ 1 ]","Zhejiang Univ, Sch Med, Affiliated Hosp 1, Dept Ophthalmol, Hangzhou 310003, Zhejiang, Peoples R China.
[ 1 ] Zhejiang Univ, Sch Med, Affiliated Hosp 1, Dept Ophthalmol, Hangzhou 310003, Zhejiang, Peoples R China
","摘要
Objective This study aimed to assess the presence of novel coronavirus in tears and conjunctival secretions of SARS-CoV-2-infected patients.

Methods A prospective interventional case series study was performed, and 30 confirmed novel coronavirus pneumonia (NCP) patients were selected at the First Affiliated Hospital of Zhejiang University from 26 January 2020 to 9 February 2020. At an interval of 2 to 3 days, tear and conjunctival secretions were collected twice with disposable sampling swabs for reverse-transcription polymerase chain reaction (RT-PCR) assay.

Results Twenty-one common-type and nine severe-type NCP patients were enrolled. Two samples of tear and conjunctival secretions were obtained from the only one patient with conjunctivitis yielded positive RT-PCR results. Fifty-eight samples from other patents were all negative.

Conclusion We speculate that SARS-CoV-2 may be detected in the tears and conjunctival secretions in NCP patients with conjunctivitis.",文献类型:Article,JOURNAL OF MEDICAL VIROLOGY,研究方向:Virology
10,10.1002/jmv.25726,作者关键词:angiotensin-converting enzyme 2 (ACE2); Coronavirus Disease 2019 (COVID-19); receptor-binding domain (RBD) of coronavirus; SARS-CoV-2; SARS-CoV-2 spike protein (S),National Natural Science Foundation of China,出版年: JUN 2020,Composition and divergence of coronavirus spike proteins and host ACE2 receptors predict potential intermediate hosts of SARS-CoV-2,"作者:Liu, ZX (Liu, Zhixin)[ 1,2,3 ] ; Xiao, X (Xiao, Xiao)[ 1 ] ; Wei, XL (Wei, Xiuli)[ 1 ] ; Li, J (Li, Jian)[ 1 ] ; Yang, J (Yang, Jing)[ 1 ] ; Tan, HB (Tan, Huabing)[ 1 ] ; Zhu, JY (Zhu, Jianyong)[ 1 ] ; Zhang, QW (Zhang, Qiwei)[ 4,5 ] ; Wu, JG (Wu, Jianguo)[ 2,3,4 ] ; Liu, L (Liu, Long)[ 1 ]","Hubei Univ Med, Renmin Hosp, Sch Basic Med Sci, Dept Resp,Dept Infect Dis, Shiyan 442000, Peoples R China.
Jinan Univ, Inst Med Microbiol, Guangdong Prov Key Lab Virol, Guangzhou 510632, Peoples R China.
[ 1 ] Hubei Univ Med, Renmin Hosp, Sch Basic Med Sci, Dept Resp,Dept Infect Dis, Shiyan 442000, Peoples R China
[ 2 ] Wuhan Univ, State Key Lab Virol, Wuhan, Peoples R China
[ 3 ] Wuhan Univ, Coll Life Sci, Wuhan, Peoples R China
[ 4 ] Jinan Univ, Inst Med Microbiol, Guangdong Prov Key Lab Virol, Guangzhou 510632, Peoples R China
[ 5 ] Southern Med Univ, Sch Publ Hlth, Guangzhou, Peoples R China
","摘要
From the beginning of 2002 and 2012, severe respiratory syndrome coronavirus (SARS-CoV) and Middle East respiratory syndrome coronavirus (MERS-CoV) crossed the species barriers to infect humans, causing thousands of infections and hundreds of deaths, respectively. Currently, a novel coronavirus (SARS-CoV-2), which has become the cause of the outbreak of Coronavirus Disease 2019 (COVID-19), was discovered. Until 18 February 2020, there were 72 533 confirmed COVID-19 cases (including 10 644 severe cases) and 1872 deaths in China. SARS-CoV-2 is spreading among the public and causing substantial burden due to its human-to-human transmission. However, the intermediate host of SARS-CoV-2 is still unclear. Finding the possible intermediate host of SARS-CoV-2 is imperative to prevent further spread of the epidemic. In this study, we used systematic comparison and analysis to predict the interaction between the receptor-binding domain (RBD) of coronavirus spike protein and the host receptor, angiotensin-converting enzyme 2 (ACE2). The interaction between the key amino acids of S protein RBD and ACE2 indicated that, other than pangolins and snakes, as previously suggested, turtles (Chrysemys picta bellii, Chelonia mydas, and Pelodiscus sinensis) may act as the potential intermediate hosts transmitting SARS-CoV-2 to humans.",文献类型:Article,JOURNAL OF MEDICAL VIROLOGY,研究方向:Virology
